,Radiant_team_id,Radiant_team_rating,Dire_team_id,Dire_team_rating,Radiant_hero1,Radiant_hero2,Radiant_hero3,Radiant_hero4,Radiant_hero5,Dire_hero1,Dire_hero2,Dire_hero3,Dire_hero4,Dire_hero5,Radiant_win,Radiant_fb,Radiant_10kill,start_time
5981,3354505,1000,2887177,1032.18,41,26,8,68,17,57,31,84,18,21,True,False,False,1477243258
5984,3349045,1137.7,15,1511.43,57,15,23,64,39,62,86,11,78,113,False,True,False,1521878395
5986,1105664,1031.53,3659536,1124.88,100,11,86,20,88,87,63,16,84,73,False,True,True,1490269293
5988,15,1511.43,2640025,1232.58,38,30,91,106,77,53,43,111,69,63,True,False,False,1461065277
5989,2621843,1211.4,46,1171.65,28,54,5,34,60,16,90,79,48,11,True,True,False,1488481983
5990,543897,1523.46,350190,1338.47,55,69,54,13,5,38,68,8,49,20,False,False,True,1463648634
5995,1883502,1568.6,2586976,1351.81,60,40,30,77,39,92,7,53,109,74,True,False,True,1501808227
5998,2519319,1389,111474,1084.27,100,38,72,50,7,55,71,30,106,73,True,False,True,1445795702
6003,2640025,1232.58,3547682,1156.43,8,28,86,62,11,75,96,100,106,70,False,False,False,1491098576
6004,2672298,1125.65,4151852,1051.19,64,54,62,13,104,84,65,63,39,29,True,True,True,1495577151
6005,2783913,1160.23,2006913,1291.81,103,80,90,2,33,50,32,28,73,38,True,True,True,1468940564
6007,2552670,1159.36,2538753,1068.9,88,9,15,79,93,76,96,111,62,38,False,True,False,1476299665
6008,2512249,1155.77,2244697,1158.18,111,38,66,8,73,100,3,16,72,46,False,False,True,1452279326
6009,254140,1000,543897,1523.46,41,30,22,70,40,20,74,58,69,26,False,True,False,1458655295
6010,1846548,1142.55,2276247,1109.13,100,55,13,50,18,7,72,86,4,49,False,True,False,1435428834
6011,2006913,1291.81,55,1140.79,112,100,68,12,13,45,50,99,17,87,True,True,True,1435262637
6012,1983234,1048.33,4,1160.77,107,63,16,50,44,114,88,37,74,70,False,False,False,1491552427
6016,1521260,1100.58,527114,1045.4,20,54,38,30,13,65,26,69,44,21,False,True,False,1466138672
6018,3704482,1096.81,2552670,1159.36,86,16,9,64,76,55,8,107,5,46,False,False,False,1484845881
6022,1836806,1208.81,726228,1396.74,54,88,64,34,79,28,109,5,57,46,False,False,True,1491739714
6024,3331948,1203.45,1375614,1360.51,60,53,63,86,94,16,13,30,81,74,True,True,True,1501870956
6030,15,1511.43,5152964,1036.48,53,16,72,119,47,87,49,107,34,41,True,False,True,1521639899
6031,3661849,1000,3262331,1066.55,108,86,14,39,35,96,63,5,107,17,False,False,False,1490017525
6032,3655584,1061.19,3510168,1000,84,8,98,37,9,66,16,26,93,101,False,True,False,1481113162
6033,3331948,1203.45,15,1511.43,71,112,69,63,47,53,7,68,114,76,False,True,False,1506166434
6035,5259051,1037.4,5306884,1000,16,30,43,120,8,15,78,3,107,39,True,True,False,1522398015
6036,543897,1523.46,32150,1000,66,38,20,88,8,30,65,94,7,61,False,False,False,1457953359
6037,1951061,1203.65,2626685,1210.14,57,40,50,109,17,60,53,112,22,4,True,False,True,1506055512
6044,1883502,1568.6,726228,1396.74,30,69,58,39,109,38,85,68,13,54,False,False,False,1509744028
6048,1966890,1093.09,2163,1452,72,38,27,39,57,100,15,55,85,106,False,True,False,1452191292
6049,3322396,1000,3725701,1123.25,55,26,71,54,74,50,108,77,106,97,True,False,True,1487063721
6051,5239174,1060.89,5257136,1000,120,74,16,109,20,51,26,44,32,33,True,True,True,1523468837
6053,1148284,1109.51,3,1287.81,3,28,68,106,46,11,50,100,92,6,False,False,True,1448957416
6055,2047484,1000,3691279,1033.01,84,2,111,35,93,76,91,65,75,44,False,False,False,1481890152
6056,3704482,1096.81,1964407,1000,62,92,63,33,102,68,7,19,81,98,True,True,True,1503081408
6057,2642171,1201.24,111474,1084.27,91,62,43,65,93,66,80,27,13,104,True,False,True,1464372549
6058,2714312,1205.68,2099268,1000,104,37,88,18,25,5,8,65,23,39,True,True,False,1495892394
6060,1375614,1360.51,15,1511.43,87,8,11,29,20,72,55,92,86,22,False,True,True,1452315448
6061,2626685,1210.14,2833354,1187.43,100,11,12,112,38,51,87,41,34,17,True,False,False,1514538054
6062,3331948,1203.45,726228,1396.74,16,99,63,5,22,107,43,86,104,48,True,False,True,1498714881
6063,2006913,1291.81,46,1171.65,55,106,60,87,48,3,74,88,1,25,True,True,True,1448542803
6064,543897,1523.46,4146964,1053.6,100,25,86,96,8,14,102,37,46,20,True,False,False,1491904627
6066,2539098,1000,1836806,1208.81,100,39,112,72,7,3,106,50,52,29,True,True,True,1449392418
6070,2251639,1048.5,1803996,1223.67,72,3,62,37,55,91,38,66,44,13,True,True,False,1431260006
6071,2108395,1429.43,39,1451.66,20,38,90,54,98,65,6,9,58,112,False,True,False,1470337643
6073,5166904,1000,3785359,1068.27,60,87,12,49,61,89,13,20,11,98,False,False,True,1519292940
6074,2208748,1088.28,3336725,1000,95,86,83,51,44,97,32,30,70,17,True,True,True,1492434259
6076,3,1287.81,2672298,1125.65,86,65,77,57,43,64,54,97,39,41,False,False,False,1495318716
6080,2246141,1000,2790766,1241.4,103,109,28,112,13,91,6,20,51,46,True,False,False,1468335891
6081,3718685,1100.67,3586078,1172.24,5,55,74,60,18,28,65,86,109,49,False,False,False,1495885054
6084,1838315,1491.97,350190,1338.47,89,72,47,5,55,39,100,92,21,30,True,True,True,1438013582
6086,2452860,1000,2042882,1075.21,72,7,55,75,46,12,100,51,30,22,False,False,True,1442799058
6087,769603,1000,1994905,1066.43,11,112,68,51,21,85,39,64,3,98,False,False,False,1445958077
6088,1951061,1203.65,7,1091.93,11,7,8,38,27,112,55,26,46,67,False,False,True,1446295203
6090,39,1451.66,1883502,1568.6,79,9,98,73,66,84,35,28,4,69,True,True,True,1481298077
6091,3703240,1000,2552670,1159.36,28,80,84,57,109,107,55,5,44,25,False,False,False,1490119471
6092,1960029,1000,726228,1396.74,69,30,72,80,55,91,20,8,19,65,False,False,False,1461238532
6093,5030031,1000,3262331,1066.55,5,63,41,25,91,60,13,4,87,104,False,False,True,1505289941
6094,67,1200.4,5027210,1303.93,86,68,78,72,76,57,100,87,8,19,False,True,True,1522382643
6095,3331948,1203.45,1520578,1094.09,16,63,20,49,85,65,84,79,48,94,False,True,False,1479982952
6099,2398232,1048.51,24,1048.25,6,50,20,41,13,16,84,90,10,12,False,False,False,1471688190
6101,3333433,1144.45,3722973,1251.35,28,55,54,75,17,90,107,2,109,9,False,False,True,1485823849
6102,2086959,1050.74,995682,1173.54,91,71,86,25,44,87,11,51,50,12,False,True,False,1436466709
6103,111474,1084.27,2108395,1429.43,50,80,65,86,28,2,79,6,111,34,True,True,False,1470245478
6104,2643401,1083.38,2777247,1242.13,38,86,93,99,112,20,8,91,19,7,False,False,False,1458994935
6108,4469196,1000,4151852,1051.19,7,5,88,54,74,51,110,28,15,46,False,False,False,1496866755
6109,543897,1523.46,2767921,1000,28,30,54,29,74,38,20,112,8,34,True,True,True,1463573460
6111,2148321,1066.07,2224197,1141.25,52,7,25,53,15,72,86,22,47,66,False,True,True,1432970355
6113,3722485,1177.53,111474,1084.27,107,98,20,11,63,96,101,86,48,106,False,False,False,1489323688
6114,1905619,1080.71,1276923,1000,11,57,52,3,40,39,79,26,70,35,True,True,True,1430438391
6115,350190,1338.47,2413439,1110.44,11,85,50,18,98,100,105,12,112,21,True,False,False,1444467991
6116,3659536,1124.88,3322396,1000,38,20,85,50,73,104,30,100,93,74,True,False,True,1487235060
6117,4,1160.77,15,1511.43,65,74,87,80,58,60,76,88,26,77,False,False,False,1453881248
6118,2643401,1083.38,2626685,1210.14,54,32,17,55,30,28,8,84,87,47,False,True,False,1469868709
6119,2789395,1088.66,3210352,1000,16,50,6,94,84,28,87,32,55,12,True,False,False,1471437752
6137,3586078,1172.24,3326875,1269.74,28,54,88,30,94,114,25,5,33,81,True,True,False,1491736033
6139,1375614,1360.51,726228,1396.74,3,72,107,45,7,100,15,19,68,12,True,False,True,1519798875
6140,15,1511.43,5,1294.52,62,55,12,21,92,25,7,91,99,110,True,True,True,1442923800
6143,3885579,1000,2780911,1181.1,114,90,93,13,108,86,54,60,82,87,False,False,False,1491139052
6145,4992012,1000,4539738,1044.73,90,7,60,39,18,41,74,51,27,6,True,False,True,1502726652
6146,15,1511.43,1364927,1000,51,72,3,15,5,52,86,49,55,57,True,True,False,1434176824
6148,2822317,1000,2746885,1029.78,73,28,20,98,71,54,32,29,17,68,False,False,False,1465383947
6149,2512249,1155.77,3,1287.81,28,112,19,15,21,3,100,25,72,85,False,False,False,1448665223
6150,2163,1452,111474,1084.27,76,57,86,54,15,88,87,84,11,63,True,True,True,1476990001
6151,1804536,1000,111474,1084.27,106,50,38,15,101,39,69,100,72,5,False,False,True,1444471783
6152,4,1160.77,726228,1396.74,6,21,3,72,7,99,91,25,12,100,False,True,False,1433307089
6154,2586976,1351.81,2108395,1429.43,6,65,9,111,76,79,23,2,8,88,True,True,True,1470418844
6155,543897,1523.46,1148284,1109.51,98,89,87,5,45,90,14,10,91,52,False,False,False,1478433136
6156,24,1048.25,2659468,1165.6,55,60,26,74,109,20,8,88,25,47,False,False,False,1468758458
6157,3258149,1000,2208748,1088.28,114,7,51,86,43,31,69,100,41,36,False,True,False,1507621021
6158,5039050,1180.83,15,1511.43,78,87,62,70,49,107,27,108,12,11,True,True,True,1511088604
6159,46,1171.65,111474,1084.27,55,50,28,46,62,39,61,87,8,5,True,True,False,1444853979
6165,2006913,1291.81,4254415,1034.16,7,65,31,70,35,107,36,87,41,58,False,True,False,1505511012
6167,2006913,1291.81,1964407,1000,28,68,84,46,70,50,11,107,88,89,True,False,False,1486479043
6169,3331948,1203.45,1836806,1208.81,8,86,106,3,29,97,95,107,75,20,False,False,False,1489896022
6176,5051649,1125.96,5116110,1068.35,13,60,31,72,17,28,50,16,54,9,True,True,False,1510779631
6177,2803739,1000,2799801,1121.13,69,110,43,103,93,28,91,86,8,18,False,False,False,1466860481
6178,2512249,1155.77,3,1287.81,28,3,50,47,1,39,112,100,15,78,True,False,True,1446776618
6180,2163,1452,1883502,1568.6,79,48,88,86,57,16,90,51,11,8,True,True,True,1477731828
6182,2414475,1000,726228,1396.74,55,107,39,6,63,87,8,62,34,60,False,False,False,1484372427
6187,3659536,1124.88,2659468,1165.6,31,89,4,96,106,41,68,13,7,114,True,False,False,1506334909
6188,3704482,1096.81,5059375,1123.97,51,34,26,58,18,89,87,13,47,8,False,False,False,1518116158
6191,3,1287.81,5026801,1398.97,16,12,45,87,70,68,100,108,72,52,True,True,False,1513451113
6192,24,1048.25,2659468,1165.6,26,8,20,73,97,38,103,74,110,18,True,False,True,1467291604
6197,2555665,1177.54,3,1287.81,69,100,85,65,8,112,28,21,50,63,True,True,True,1446501992
6198,98301,1000,350190,1338.47,65,5,16,48,17,55,86,14,54,25,False,True,True,1484816398
6199,2767921,1000,350190,1338.47,55,87,111,93,17,107,109,20,41,106,False,True,False,1466925525
6201,2668269,1000,2790766,1241.4,28,90,6,35,111,37,76,51,44,84,False,False,True,1478631954
6202,2276247,1109.13,1846548,1142.55,72,79,50,17,19,85,64,22,26,32,True,True,True,1435432746
6204,1804536,1000,2276247,1109.13,112,11,51,50,42,7,39,79,28,89,True,False,False,1435691069
6205,3967697,1000,2833354,1187.43,96,63,86,8,34,107,54,106,55,87,False,False,False,1489217389
6207,5028104,1105.7,2512249,1155.77,15,68,84,81,47,57,51,87,39,18,False,True,False,1510622438
6210,726228,1396.74,39,1451.66,11,29,86,106,52,95,33,110,83,46,False,False,False,1423464603
6211,2714312,1205.68,4369633,1086.27,64,2,51,11,20,88,86,13,16,10,False,False,False,1497019281
6212,1105664,1031.53,3262512,1064.62,97,37,107,41,76,5,109,16,51,74,False,False,True,1493983171
6214,3214108,1401.12,1375614,1360.51,79,48,57,14,15,84,6,65,91,94,False,False,True,1480812718
6215,3931120,1127.85,3262331,1066.55,38,25,107,48,106,63,96,87,46,8,False,True,True,1491925927
6216,2789717,1169.95,2533075,1085.05,79,41,44,61,72,107,13,6,20,17,True,True,True,1468332323
6219,2859105,1000,2108395,1429.43,55,50,11,51,104,107,8,5,16,76,False,False,True,1484381678
6220,3,1287.81,2163,1452,50,53,62,12,104,54,28,110,73,60,False,False,False,1465383956
6223,543897,1523.46,1148284,1109.51,84,65,76,8,20,79,23,41,9,63,True,False,True,1473495747
6224,39,1451.66,2163,1452,33,55,30,22,89,53,70,43,110,88,False,False,False,1457236025
6225,2201839,1000,3763318,1055.43,54,2,75,76,86,20,50,96,10,34,True,True,True,1487169072
6226,24,1048.25,350190,1338.47,107,22,38,5,1,58,13,8,20,53,False,True,False,1460553416
6229,39,1451.66,2006913,1291.81,100,89,71,2,65,39,61,25,72,7,False,False,False,1443924372
6230,3477208,1000,1905619,1080.71,106,50,87,15,16,47,111,2,88,109,True,False,True,1487978526
6234,2163,1452,3547682,1156.43,50,86,96,54,35,28,37,108,70,11,True,True,True,1487912676
6237,4592777,1101.82,4425117,1073.52,77,23,75,106,61,60,13,112,8,70,True,False,True,1500141639
6240,5039050,1180.83,3,1287.81,27,107,51,72,49,62,13,78,53,81,False,True,True,1513188123
6243,2208748,1088.28,1983234,1048.33,11,68,51,18,93,50,28,60,21,72,True,False,True,1449388815
6245,3704482,1096.81,1820360,1289.92,60,92,22,86,78,6,13,16,112,80,False,True,False,1503241925
6246,3335660,1000,726228,1396.74,16,70,64,73,30,28,87,8,40,63,False,False,False,1479542689
6247,39,1451.66,2586976,1351.81,12,3,13,103,10,100,109,87,49,55,True,False,True,1516431401
6248,1333179,1200.19,2586976,1351.81,25,31,107,8,98,110,74,100,2,45,False,True,True,1501701837
6250,15,1511.43,5,1294.52,107,43,37,54,104,40,114,65,110,7,False,False,False,1506686556
6251,2586976,1351.81,726228,1396.74,11,85,86,12,19,100,3,20,25,62,False,False,True,1449710264
6252,726228,1396.74,1375614,1360.51,38,30,8,103,49,28,58,107,63,98,False,False,False,1466600485
6253,4730907,1000,464103,1131.39,90,40,83,45,18,16,68,53,17,41,False,False,True,1499094300
6254,2813614,1030.56,2440854,1000,111,65,62,93,46,26,79,28,4,17,True,True,True,1475938181
6255,1951061,1203.65,2860081,1093.46,107,8,16,30,73,114,104,86,74,106,False,True,True,1492520599
6258,46,1171.65,2085365,1181.13,100,50,72,46,71,55,11,30,64,18,True,False,True,1445704563
6260,2384932,1144.84,2059533,1000,93,59,62,3,98,112,87,46,99,67,True,True,True,1446776636
6261,2672298,1125.65,3334209,1053.59,28,54,75,34,62,86,48,57,49,65,True,True,False,1484200560
6262,2776208,1000,1951061,1203.65,26,2,13,69,89,107,41,87,72,73,False,True,False,1465896077
6277,2163,1452,3,1287.81,69,13,38,77,86,68,28,60,53,19,True,False,False,1462879894
6278,2244697,1158.18,1937628,1000,72,86,52,16,62,11,25,51,30,95,True,True,False,1432263605
6280,4288603,1230.49,726228,1396.74,3,16,92,60,48,15,107,37,108,25,False,True,True,1521702133
6281,2586976,1351.81,3,1287.81,107,5,65,74,109,54,58,87,43,85,True,True,True,1466196926
6283,36,1186.73,1883502,1568.6,85,20,53,68,41,107,57,50,63,39,True,False,True,1510779603
6284,2061104,1000,3706823,1149.63,2,86,75,54,94,79,48,36,74,88,False,True,False,1485770812
6286,2837183,1087.81,2217730,1000,74,110,112,54,55,38,28,31,10,26,False,True,True,1462328732
6287,3729306,1000,3763625,1040.14,88,16,87,34,56,25,86,69,51,1,False,True,True,1492544828
6293,2581813,1188.72,2789395,1088.66,28,30,72,107,74,69,20,93,13,29,False,False,False,1462433605
6294,4,1160.77,5,1294.52,112,25,17,7,93,72,86,71,75,39,False,False,False,1443095692
6296,1838315,1491.97,1520578,1094.09,106,40,21,53,87,60,26,39,8,110,False,True,False,1445104089
6298,111474,1084.27,2537636,1000,65,8,87,58,63,108,93,92,5,13,False,True,False,1481832335
6301,3326126,1254.42,20,1000,86,40,91,19,93,28,54,85,75,104,True,True,False,1479805574
6302,2163,1452,2006913,1291.81,85,55,11,112,21,106,38,50,28,25,True,True,False,1445277853
6306,1883502,1568.6,2586976,1351.81,79,48,28,49,55,65,76,84,109,7,True,False,True,1479678713
6309,2539098,1000,2635099,1242.81,74,69,67,111,71,62,12,65,30,8,False,True,False,1459858552
6310,2663239,1050.62,2653220,1000,74,7,68,6,20,50,51,47,16,70,True,True,True,1451046179
6314,4988859,1000,3704482,1096.81,45,75,71,13,10,50,65,20,62,15,False,False,False,1508685464
6315,3477208,1000,3922738,1298.86,68,13,23,46,81,51,75,106,38,18,False,False,False,1499576640
6317,5026801,1398.97,5027210,1303.93,100,15,30,92,41,43,7,26,65,63,True,False,True,1523812120
6318,20,1000,2640025,1232.58,54,50,55,23,77,28,43,68,8,33,False,True,False,1469093429
6319,2006913,1291.81,2533075,1085.05,86,54,107,35,16,51,11,55,3,70,True,True,False,1483027536
6321,15,1511.43,5,1294.52,16,65,50,109,25,107,43,37,22,93,False,False,False,1499338114
6326,111474,1084.27,2197847,1108.61,52,62,51,8,26,72,11,84,112,65,True,False,False,1432910251
6327,5039050,1180.83,5059375,1123.97,19,103,84,11,15,100,72,68,49,39,False,True,False,1518548531
6332,2208748,1088.28,1951061,1203.65,86,16,39,55,44,51,11,84,70,37,False,False,True,1495955681
6335,2521184,1000,645123,1041.99,96,87,8,60,11,37,70,23,38,35,False,True,False,1491495520
6336,2827243,1031.96,2921333,1060.19,41,26,54,16,9,87,103,55,10,34,False,True,False,1469201335
6340,2163,1452,55,1140.79,53,12,69,30,13,74,107,25,41,81,True,False,False,1460484575
6341,3334209,1053.59,1964407,1000,84,97,86,54,70,108,91,8,107,34,True,True,False,1484217484
6344,4100699,1064.46,26,1058.92,88,39,80,66,86,51,13,87,56,33,False,False,True,1496322014
6347,2581813,1188.72,5,1294.52,100,111,21,12,85,55,3,11,28,19,False,False,False,1450360677
6351,15,1511.43,1883502,1568.6,62,25,55,12,46,52,7,5,3,39,True,False,False,1438974603
6352,4,1160.77,1375614,1360.51,58,74,72,111,100,107,43,26,55,54,False,False,False,1459849836
6353,4369633,1086.27,350190,1338.47,39,88,75,65,93,112,107,54,57,49,False,True,True,1510229363
6356,2581813,1188.72,1520578,1094.09,39,50,62,25,7,85,71,92,20,46,False,True,True,1450377343
6358,2538753,1068.9,1883502,1568.6,38,73,112,3,48,107,54,29,87,11,True,True,False,1466944915
6359,2789717,1169.95,2163,1452,58,111,70,74,80,76,38,30,33,8,False,True,False,1460649599
6363,2512249,1155.77,2677025,1082.49,28,9,58,3,80,69,65,13,5,10,True,True,True,1462396345
6366,2163,1452,2006913,1291.81,100,55,28,73,25,91,19,3,51,96,False,False,False,1445282874
6367,2635099,1242.81,1375614,1360.51,65,8,30,91,1,58,111,49,63,41,False,True,False,1462275447
6370,4186376,1153.14,4100699,1064.46,84,65,28,46,70,37,16,54,88,39,False,True,False,1495127324
6372,2790766,1241.4,2533075,1085.05,18,96,74,8,25,28,98,62,104,44,False,True,False,1488384139
6374,2621843,1211.4,4103958,1036.24,28,20,87,69,11,70,86,16,57,75,True,True,True,1490371283
6375,543897,1523.46,2581813,1188.72,103,28,30,93,23,20,98,29,109,69,True,True,False,1468047048
6377,3510968,1041.24,3619395,1000,84,1,29,87,74,37,51,23,76,9,True,False,False,1482407723
6378,3725701,1123.25,5197302,1000,57,100,30,11,20,16,68,69,39,109,True,False,True,1520931311
6380,2054406,1047.3,1773539,1198.98,7,55,25,4,21,72,11,86,13,66,False,False,False,1435628535
6381,36,1186.73,2621843,1211.4,53,101,16,13,18,78,31,51,95,46,False,False,True,1505580031
6383,2777247,1242.13,2208748,1088.28,20,65,93,74,103,29,107,111,43,8,True,True,False,1464503822
6384,2640025,1232.58,4425650,1160.59,68,7,104,109,76,88,51,70,87,11,False,True,False,1506481420
6385,4,1160.77,726228,1396.74,98,111,90,12,38,86,70,88,15,33,False,False,True,1478001447
6386,2533075,1085.05,2621843,1211.4,83,50,104,25,77,55,8,100,3,46,False,True,True,1492790827
6388,2701329,1087.32,2217730,1000,91,99,68,81,28,74,38,18,5,55,False,True,True,1460509312
6389,1375614,1360.51,26,1058.92,88,74,87,16,20,90,53,70,62,25,True,False,False,1493057924
6390,1994818,1107.68,634579,1000,17,71,60,26,35,99,87,112,21,55,True,True,True,1433118312
6392,2833354,1187.43,3349045,1137.7,111,54,76,62,60,8,90,41,86,46,False,True,True,1476711324
6393,15,1511.43,1520578,1094.09,11,39,86,13,112,62,25,30,61,17,False,False,True,1436499012
6394,2343061,1033.45,1966890,1093.09,79,50,11,52,53,39,55,99,91,26,True,True,False,1432663072
6395,2640099,1192.2,3,1287.81,107,58,50,43,1,55,74,5,33,12,False,False,True,1459464834
6396,2552670,1159.36,3381675,1000,91,28,87,17,70,79,9,2,6,84,True,False,False,1476553012
6398,2398232,1048.51,3020072,1000,84,65,8,5,13,30,48,71,20,73,True,False,True,1469880669
6402,3715574,1201.9,1375614,1360.51,9,50,62,55,42,53,16,87,39,8,True,False,True,1509621806
6403,3726983,1059.17,2754114,1000,79,28,57,8,11,109,51,87,29,17,True,True,True,1486244446
6405,1836806,1208.81,1148284,1109.51,91,6,13,39,37,111,55,44,107,74,True,False,False,1470872258
6406,1375614,1360.51,20,1000,6,28,87,91,47,76,84,65,8,75,True,False,True,1474714798
6407,2777247,1242.13,36,1186.73,107,72,26,55,43,38,20,77,111,21,False,True,False,1460747942
6410,2538753,1068.9,2552670,1159.36,76,29,83,87,60,97,30,93,2,98,True,False,False,1478797912
6411,3,1287.81,2677025,1082.49,23,9,52,16,67,2,20,75,17,14,True,True,False,1477776828
6412,39,1451.66,1520578,1094.09,100,50,25,56,105,72,7,92,55,4,True,True,True,1438289949
6415,2108395,1429.43,5126720,1084.44,51,13,22,29,80,11,100,27,41,59,False,True,True,1515672630
6416,2783913,1160.23,2163,1452,84,8,103,73,51,6,50,86,98,21,False,True,False,1477656973
6417,3318843,1000,1951061,1203.65,86,8,55,106,60,87,65,85,48,99,False,False,False,1481789486
6418,4103958,1036.24,2621843,1211.4,96,25,84,63,86,114,70,87,34,7,False,False,False,1490364189
6421,1375614,1360.51,39,1451.66,25,16,30,81,72,80,74,7,5,18,False,True,True,1453901437
6423,2391283,1031.05,2710805,1000,86,28,25,70,29,97,54,84,11,112,True,False,True,1491056052
6424,2888228,1030.02,2897202,1000,74,3,9,29,8,28,5,18,14,34,True,True,True,1467813013
6426,2108395,1429.43,350190,1338.47,16,8,84,20,35,14,108,86,39,109,False,True,True,1484833669
6427,2854942,1056.75,2685608,1000,55,18,68,107,39,54,103,26,13,97,True,True,False,1467626392
6428,4709558,1000,4763262,1078.19,60,36,27,51,35,7,40,107,114,111,False,True,True,1502787242
6429,2414095,1072.92,3343967,1000,5,8,107,76,33,114,2,109,86,35,False,False,False,1493972602
6430,2643401,1083.38,2626685,1210.14,41,79,49,50,109,23,28,17,54,31,True,True,False,1469093443
6431,36,1186.73,1846548,1142.55,52,79,68,11,99,85,50,13,64,70,True,True,True,1432923161
6436,3,1287.81,1937628,1000,72,91,50,38,39,25,100,68,12,7,True,True,True,1442360875
6437,2414475,1000,5000254,1158.12,51,68,57,39,81,7,111,25,12,69,False,True,True,1508227111
6438,1375614,1360.51,2248605,1000,72,85,26,47,5,11,7,62,74,104,True,True,False,1432031406
6439,3331948,1203.45,4,1160.77,62,2,93,30,34,8,107,28,98,85,False,False,True,1475848693
6441,4187910,1045.66,3971206,1181.88,83,5,33,89,46,104,37,11,86,109,True,False,True,1493744850
6442,1105664,1031.53,1148284,1109.51,55,112,21,69,33,71,39,87,84,6,False,False,False,1444552646
6443,2640025,1232.58,5,1294.52,88,92,89,114,35,68,107,41,109,49,False,False,True,1507455108
6445,2108395,1429.43,3659536,1124.88,27,92,16,69,8,88,36,87,63,9,False,True,False,1505388607
6446,39,1451.66,726228,1396.74,100,3,72,73,61,11,85,75,60,106,True,False,False,1449884846
6447,543897,1523.46,24,1048.25,28,111,8,84,2,55,60,48,20,97,True,False,False,1469802490
6448,2539098,1000,5,1294.52,11,60,3,51,70,69,71,25,7,15,True,False,False,1448549473
6451,2538621,1000,15,1511.43,38,26,5,106,98,29,30,58,93,22,False,True,True,1464514271
6452,2854942,1056.75,20,1000,50,54,8,55,107,16,32,111,59,17,True,True,False,1477894083
6453,1375614,1360.51,726228,1396.74,72,7,86,49,66,52,11,71,20,100,False,False,True,1433300841
6456,2790766,1241.4,2642171,1201.24,86,28,85,74,8,16,91,9,98,46,False,False,False,1476990051
6457,1846548,1142.55,2621843,1211.4,111,65,107,18,106,53,91,22,81,79,False,True,False,1455124617
6458,1520578,1094.09,1375614,1360.51,32,54,55,30,97,87,16,70,29,89,True,False,False,1494589601
6462,36,1186.73,4592777,1101.82,41,101,69,104,22,31,7,65,98,94,False,True,False,1506690570
6464,5,1294.52,1883502,1568.6,87,72,100,29,34,16,43,111,109,69,False,True,True,1522390943
6465,39,1451.66,2006913,1291.81,20,76,112,41,65,74,80,100,72,26,True,True,True,1452846538
6467,5138280,1127.36,4764493,1000,19,11,27,62,20,51,30,80,40,8,True,True,True,1515734832
6469,39,1451.66,15,1511.43,30,65,83,67,53,25,18,86,72,29,True,True,True,1452928446
6470,1838315,1491.97,39,1451.66,100,89,72,47,5,52,30,99,55,17,True,False,True,1434902677
6472,2374212,1000,2640025,1232.58,69,68,55,46,42,100,50,11,71,20,False,False,False,1449475745
6473,2642171,1201.24,2790766,1241.4,91,98,55,73,101,23,41,30,8,11,False,False,False,1469643021
6474,699943,1000,3343641,1043.46,104,75,32,5,10,57,112,84,48,25,False,True,False,1493386867
6485,36,1186.73,1883502,1568.6,60,87,9,77,7,107,55,8,58,49,True,True,False,1463922321
6486,2640025,1232.58,46,1171.65,74,20,88,38,37,86,95,84,35,104,True,False,False,1491131630
6489,1983234,1048.33,1520578,1094.09,62,8,30,51,98,71,55,26,18,17,False,False,True,1466175526
6490,1838315,1491.97,15,1511.43,74,50,100,93,53,30,29,20,109,22,False,True,True,1453869445
6491,4,1160.77,39,1451.66,80,100,26,25,70,74,30,28,53,83,True,True,False,1454235059
6492,4186376,1153.14,2621843,1211.4,97,5,110,44,69,87,70,114,96,93,True,False,False,1494072367
6493,15,1511.43,726228,1396.74,64,114,107,55,106,53,60,30,1,36,False,False,True,1506842467
6494,15,1511.43,3214108,1401.12,16,50,6,17,57,91,106,103,23,25,True,True,True,1497478085
6496,2659468,1165.6,3704482,1096.81,85,57,87,20,76,84,15,28,55,81,True,False,True,1512613563
6498,4288603,1230.49,3349045,1137.7,9,79,80,16,12,38,30,19,91,74,False,True,True,1510924452
6500,2862712,1000,2881728,1060.94,28,75,30,93,47,87,29,26,18,23,False,False,True,1468423159
6501,5208384,1000,3,1287.81,57,15,30,16,44,86,58,11,38,114,False,False,True,1518548628
6502,726228,1396.74,2833354,1187.43,96,5,13,109,20,54,107,25,88,34,True,True,True,1490508204
6503,1836806,1208.81,2586976,1351.81,93,55,32,37,8,6,111,2,100,94,False,False,False,1468790257
6510,2789395,1088.66,24,1048.25,28,90,54,62,34,84,2,112,10,21,False,False,False,1471775174
6511,2538753,1068.9,1883502,1568.6,57,44,111,14,10,91,65,18,58,74,False,True,True,1477593743
6514,5197722,1116.64,2621843,1211.4,72,100,87,58,12,30,15,88,43,69,False,False,False,1519731829
6516,726228,1396.74,1520578,1094.09,39,71,72,50,38,100,112,55,47,18,False,False,True,1445594640
6517,5065748,1167.85,5258710,1000,57,16,3,49,34,72,86,107,43,102,False,False,True,1520197669
6518,2555665,1177.54,2653763,1000,69,11,100,30,102,50,60,39,71,46,True,True,False,1450134920
6521,1905619,1080.71,3724222,1000,16,86,54,88,11,51,25,75,17,81,True,True,True,1498512744
