,Radiant_team_id,Radiant_team_rating,Dire_team_id,Dire_team_rating,Radiant_hero1,Radiant_hero2,Radiant_hero3,Radiant_hero4,Radiant_hero5,Dire_hero1,Dire_hero2,Dire_hero3,Dire_hero4,Dire_hero5,Radiant_win,Radiant_fb,Radiant_10kill,start_time
252,543897,1523.46,350190,1338.47,55,30,74,106,103,38,20,12,88,54,False,False,True,1463652352
258,2533075,1085.05,3722485,1177.53,86,48,85,13,46,107,96,90,54,11,False,False,False,1486742319
259,46,1171.65,2552670,1159.36,95,88,30,39,41,64,99,32,29,49,True,True,True,1496239970
260,1883502,1568.6,2163,1452,88,5,40,36,4,90,38,77,86,43,False,False,True,1502404357
262,2581813,1188.72,543897,1523.46,19,87,16,54,11,89,64,78,43,20,False,True,False,1518243432
263,5,1294.52,726228,1396.74,16,9,26,46,15,112,86,13,97,12,False,False,True,1510306192
265,3214108,1401.12,39,1451.66,37,8,29,66,49,84,40,38,76,98,False,False,False,1479578410
266,5025464,1000,2672298,1125.65,53,23,75,17,6,7,13,50,48,58,False,False,False,1504822548
268,3725701,1123.25,4146964,1053.6,102,86,103,95,17,97,5,57,44,74,True,False,False,1491381479
272,1883502,1568.6,67,1200.4,43,68,100,49,45,16,58,13,33,95,True,True,True,1522320894
273,24,1048.25,1276785,1000,84,44,65,75,17,16,6,111,2,59,False,True,False,1473939274
274,3659536,1124.88,1276785,1000,79,11,23,72,61,28,86,74,20,42,True,False,True,1487752333
278,4425117,1073.52,4186376,1153.14,88,95,37,70,57,87,8,28,29,15,True,False,True,1497553083
279,36,1186.73,46,1171.65,41,107,18,30,39,74,71,87,50,67,False,False,True,1455740879
280,5107795,1000,5039050,1180.83,58,16,75,39,41,3,12,60,15,61,False,True,True,1517925978
282,36,1186.73,5027210,1303.93,51,32,86,95,9,107,1,87,65,36,False,True,True,1508586688
283,3332295,1215.38,36,1186.73,60,86,70,104,73,90,8,107,51,74,False,False,True,1489262414
284,5,1294.52,26,1058.92,57,20,37,16,94,62,102,87,25,12,True,True,False,1493286651
289,2006913,1291.81,1148284,1109.51,28,87,106,55,107,69,64,30,8,21,True,True,True,1462120372
290,2059672,1083.35,3931002,1073.15,16,11,66,70,30,107,8,87,102,109,False,True,False,1489183831
291,5004539,1000,4917125,1053.33,7,84,55,76,48,27,62,102,4,46,False,False,False,1508324774
292,5125078,1049.99,3852402,1034.78,60,30,29,34,81,100,13,27,8,88,True,False,True,1515747113
294,1375614,1360.51,350190,1338.47,107,4,87,57,43,31,1,16,55,40,True,True,False,1509026756
295,1375614,1360.51,2777247,1242.13,58,28,8,83,39,62,74,30,41,72,False,True,False,1459415018
296,1983234,1048.33,1951061,1203.65,86,36,51,104,70,40,68,107,16,1,True,True,True,1505035437
299,2006913,1291.81,46,1171.65,9,6,87,84,96,23,111,2,49,18,True,False,True,1472486408
300,2672298,1125.65,3513460,1000,28,54,92,17,86,5,96,85,11,67,True,False,False,1482116688
302,3326875,1269.74,2659468,1165.6,106,87,85,96,1,86,97,7,11,10,True,True,True,1486724542
